idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,2.200000,0.785736,1.409207,1018.313857,1049715.652286,1141917094752.388672,-55.694643,3108.713807
1,2.203846,0.776789,1.453494,1006.718714,1028503.135714,1101821657678.001953,-55.393881,3075.541579
2,2.207692,0.778343,1.363916,1008.732571,1030729.712571,1103416402323.263184,-55.370905,3072.584690
3,2.211538,0.768690,1.497556,996.222571,1009561.993143,1067383113691.385620,-55.082706,3041.428939
4,2.215385,0.759755,1.596507,984.642286,989571.566857,1032859788463.160645,-54.813778,3012.385780
5,2.219231,0.758888,1.543202,983.519143,984947.448571,1021180592929.253296,-54.694992,2999.142405
6,2.223077,0.747184,1.595262,968.350571,959554.635429,978616226593.532715,-54.383071,2965.402355
7,2.226923,0.745705,1.628022,966.433429,956078.900000,971444821473.966309,-54.285151,2954.951260
8,2.230769,0.736248,1.596203,954.177143,934540.210286,934372430125.391479,-54.006063,2924.598129
9,2.234615,0.728435,1.714733,944.051286,918633.343143,909951518489.328003,-53.764222,2899.154120
10,2.238462,0.721585,1.741400,935.174143,904008.211714,886956099293.008179,-53.579389,2879.476565
11,2.242308,0.709542,1.811790,919.566571,877586.602857,843114034213.435913,-53.192087,2838.507731
12,2.246154,0.698422,1.803610,905.154429,855751.756857,811302568286.679810,-52.934325,2811.142391
13,2.250000,0.692905,1.773589,898.005143,842495.058286,787214444904.896851,-52.717778,2788.142891
14,2.253846,0.687582,1.861554,891.105714,833267.888000,776518887561.875366,-52.556730,2771.666250
15,2.257692,0.676355,1.809901,876.556429,810400.403143,742330164006.739868,-52.348532,2749.594156
16,2.261538,0.661559,1.950733,857.380857,782739.558857,704940034393.440430,-52.007302,2714.736550
17,2.265385,0.656562,1.919720,850.904857,770050.298286,682962118568.149170,-51.790794,2692.138247
18,2.269231,0.639853,1.920091,829.249714,741192.881143,647040011227.513306,-51.477143,2659.783571
19,2.273077,0.631954,2.003525,819.012857,724989.490857,622966550434.937256,-51.216532,2633.485096
20,2.276923,0.621247,1.948642,805.136286,703164.653143,592266596709.408325,-50.953262,2606.337398
21,2.280769,0.609990,2.006433,790.546429,684167.366571,568473239565.911621,-50.726024,2583.566773
22,2.284615,0.604328,1.916009,783.209714,671646.504000,550569243323.250854,-50.615016,2571.880379
23,2.288462,0.587431,1.972861,761.310286,644208.830286,518870266559.118835,-50.231635,2533.549129
24,2.292308,0.575795,2.001590,746.230286,621491.589714,488641798801.194824,-49.900627,2500.590280
25,2.296154,0.559693,1.876235,725.362429,593724.594000,455809056472.376404,-49.618310,2471.868756
26,2.300000,0.554359,2.005031,718.448857,583251.001714,442828220716.595276,-49.368810,2447.885966
27,2.303846,0.530239,1.904332,687.189286,544633.816286,401475664864.821411,-49.039778,2415.007439
28,2.307692,0.525014,1.883331,680.418286,534622.500000,387720156727.002258,-48.854183,2396.760728
29,2.311538,0.502593,1.909535,651.360857,498963.700571,350566890549.357788,-48.456960,2358.280049
30,2.315385,0.499344,1.956264,647.150429,493078.939714,343633637422.185486,-48.317929,2345.109765
31,2.319231,0.489114,1.851499,633.891429,478509.274286,329622775095.581970,-48.178841,2331.159647
32,2.323077,0.465239,1.803026,602.949857,439347.586571,287581845309.344055,-47.655643,2280.790664
33,2.326923,0.459663,1.829636,595.723857,433642.437429,284692381968.320557,-47.547587,2270.679755
34,2.330769,0.453470,1.796913,587.697429,421128.614857,268582423703.527618,-47.280254,2245.184120
35,2.334615,0.435831,1.688922,564.836714,393233.136286,240843634878.928772,-47.022040,2220.277567
36,2.338462,0.415706,1.696539,538.754857,365879.548571,217235725811.005615,-46.564659,2177.544800
37,2.342308,0.414112,1.746560,536.689714,364917.601714,217500936287.514008,-46.599421,2181.088340
38,2.346154,0.391456,1.603222,507.326857,330337.453143,184492829714.783264,-46.040651,2128.566362
39,2.350000,0.388822,1.634478,503.913857,325193.814000,179769524183.269348,-45.954238,2120.818402
