idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,0.125000,1.000000,0.000000,9.000000,81.000000,6561.000000,-18.000000,324.000000
1,0.250000,1.000000,0.000000,9.000000,81.000000,6561.000000,-18.000000,324.000000
2,0.375000,1.000000,0.000000,9.000000,81.000000,6560.999980,-18.000000,323.999999
3,0.500000,1.000000,0.000029,8.999998,80.999968,6560.995782,-17.999992,323.999773
4,0.625000,0.999994,0.000456,8.999950,80.999199,6560.896055,-17.999800,323.994406
5,0.750000,0.999952,0.002721,8.999570,80.993147,6560.112937,-17.998293,323.952321
6,0.875000,0.999774,0.009452,8.997969,80.967784,6556.851644,-17.992008,323.777487
7,1.000000,0.999262,0.023710,8.993357,80.895380,6547.633934,-17.974198,323.285181
8,1.125000,0.998102,0.048236,8.982917,80.733689,6527.337891,-17.934801,322.206520
9,1.250000,0.995867,0.085077,8.962801,80.427633,6489.608320,-17.861037,320.213029
10,1.375000,0.992026,0.135304,8.928232,79.912728,6427.471630,-17.738340,316.951002
11,1.500000,0.985978,0.198598,8.873802,79.120756,6334.125127,-17.551679,312.083043
12,1.625000,0.977116,0.272786,8.794046,77.988273,6203.902034,-17.287383,305.336552
13,1.750000,0.964923,0.353629,8.684303,76.467333,6033.314237,-16.935392,296.554390
14,1.875000,0.949073,0.435146,8.541659,74.536131,5821.938124,-16.491455,285.736390
15,2.000000,0.929524,0.510573,8.365716,72.206246,5572.850052,-15.958604,273.057680
16,2.125000,0.906545,0.573676,8.158903,69.523693,5292.407806,-15.347310,258.854453
17,2.250000,0.880689,0.619967,7.926202,66.563036,4989.389348,-14.674169,243.578492
18,2.375000,0.852710,0.647398,7.674387,63.416274,4673.727981,-13.959488,227.732874
19,2.500000,0.823446,0.656354,7.411014,60.179877,4355.199580,-13.224476,211.806646
20,2.625000,0.793717,0.649094,7.143453,56.943355,4042.375250,-12.488786,196.223738
21,2.750000,0.764240,0.628951,6.878162,53.781508,3742.002678,-11.768849,181.313756
22,2.875000,0.735588,0.599562,6.620294,50.750872,3458.816480,-11.077111,167.304162
23,3.000000,0.708176,0.564317,6.373585,47.889649,3195.671454,-10.422024,154.328256
24,3.125000,0.682273,0.526049,6.140457,45.219897,2953.859499,-9.808523,142.441903
25,3.250000,0.658025,0.486932,5.922229,42.750750,2733.489744,-9.238724,131.643004
26,3.375000,0.635486,0.448511,5.719370,40.481803,2533.851599,-8.712658,121.889815
27,3.500000,0.614637,0.411800,5.531731,38.406146,2353.719691,-8.228928,113.116161
28,3.625000,0.595417,0.377397,5.358753,36.512811,2191.588109,-7.785239,105.243007
29,3.750000,0.577735,0.345599,5.199619,34.788628,2045.837929,-7.378806,98.186648
30,3.875000,0.561487,0.316495,5.053379,33.219527,1914.849361,-7.006630,91.864135
31,4.000000,0.546558,0.290035,4.919026,31.791429,1797.071562,-6.665700,86.196584
32,4.125000,0.532840,0.266089,4.795556,30.490786,1691.062043,-6.353108,81.111010
33,4.250000,0.520222,0.244480,4.682000,29.304912,1595.505282,-6.066123,76.541130
34,4.375000,0.508605,0.225011,4.577448,28.222133,1509.217841,-5.802226,72.427525
35,4.500000,0.497895,0.207482,4.481056,27.231846,1431.145181,-5.559121,68.717414
36,4.625000,0.488006,0.191698,4.392052,26.324501,1360.353749,-5.334737,65.364192
37,4.750000,0.478859,0.177475,4.309735,25.491550,1296.020713,-5.127216,62.326882
38,4.875000,0.470386,0.164647,4.233473,24.725374,1237.422827,-4.934895,59.569547
39,5.000000,0.462522,0.153059,4.162696,24.019198,1183.925376,-4.756296,57.060710
