idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_dev(bootstrap)
0,0.125000,1.000000,0.000000,10000.000000,100000000.000000,10000000000000000.000000,-20000.000000,400000000.000000,0.000000
1,0.250000,1.000000,0.000000,10000.000000,100000000.000000,10000000000000000.000000,-20000.000000,400000000.000000,0.000000
2,0.375000,1.000000,0.000000,10000.000000,100000000.000000,10000000000000000.000000,-20000.000000,400000000.000000,0.000000
3,0.500000,0.217642,0.010631,2176.417200,5206210.791200,35556587956976.710938,-19586.902200,383646764.368794,0.000460
4,0.625000,0.999995,0.000440,9999.946900,99998938.111001,9999787666590352.000000,-19999.788000,399991521.764798,0.000019
5,0.750000,0.999953,0.002703,9999.527900,99990559.191007,9998112314458706.000000,-19998.121600,399924882.731181,0.000053
6,0.875000,0.228830,0.032084,2288.302500,5967440.524600,51164358697572.875000,-19510.912000,380675932.715209,0.000640
7,1.000000,0.999272,0.023279,9992.721600,99854500.597599,9970927528085932.000000,-19971.472200,398859934.624774,0.000237
8,1.125000,0.998172,0.046943,9981.717100,99634718.045805,9927093687394390.000000,-19929.258000,397175918.555186,0.000455
9,1.250000,0.996031,0.082706,9960.306000,99207792.452001,9842224500183446.000000,-19848.816800,393976820.641593,0.000679
10,1.375000,0.992361,0.133312,9923.612500,98478291.181799,9698055002990716.000000,-19715.553800,388705582.063195,0.001146
11,1.500000,0.674620,4.470730,6746.203300,57646188.633398,5025519680481167.000000,-19201.076000,368781910.976001,0.053723
12,1.625000,0.488236,3.538765,4882.358900,36067127.673800,2878305780208292.000000,-18758.563400,351977146.344803,0.203221
13,1.750000,0.266551,0.401525,2665.514600,8327543.254000,105846804104810.234375,-18121.413800,328397934.819998,0.004117
14,1.875000,0.943758,0.528260,9437.581400,89071106.677199,7934787715111864.000000,-18234.084400,332500405.563201,0.005463
15,2.000000,0.911276,0.696098,9112.763800,83050000.534800,6899795438473444.000000,-17455.984200,304739228.295213,0.008395
16,2.125000,0.852614,1.071890,8526.140800,72722825.881201,5296611983923574.000000,-16363.250200,267804359.621591,0.019197
17,2.250000,0.683822,1.875686,6838.224600,47225282.887200,2310197419044796.500000,-14669.463800,215288124.796002,0.058447
18,2.375000,0.114667,1.119201,1146.665200,1994918.431600,10078271117188.968750,-12337.445800,152275698.813599,0.022269
19,2.500000,0.059614,0.859551,596.142200,569220.086800,1046342005906.078491,-11054.069000,122246163.391202,0.012584
20,2.625000,0.042307,0.686203,423.071900,282645.476600,242556465084.553802,-10102.212600,102101983.111198,0.009294
21,2.750000,0.034659,0.562879,346.589500,190126.111000,110374937042.379974,-9351.320800,87489768.414399,0.007219
22,2.875000,0.030842,0.462207,308.422600,152812.688400,75280341588.350311,-8716.208000,76010486.156802,0.005157
23,3.000000,0.026952,0.410962,269.517900,114849.193800,40469748996.765694,-8168.262400,66757497.257599,0.004164
24,3.125000,0.024288,0.349463,242.875200,92518.496800,25603909724.454548,-7704.996200,59401093.640802,0.003531
25,3.250000,0.022493,0.308010,224.932300,79743.275400,19416808157.460064,-7289.202400,53165005.236801,0.002579
26,3.375000,0.021392,0.274942,213.921000,71999.657600,15569782835.763168,-6929.691200,48051937.704000,0.002377
27,3.500000,0.019499,0.246011,194.988600,59817.576800,10667279330.412867,-6601.055400,43604068.739999,0.002144
28,3.625000,0.018713,0.223535,187.133900,54839.023000,8865341267.212019,-6306.960000,39807118.399999,0.001710
29,3.750000,0.017895,0.206643,178.953500,50318.658600,7670202639.376863,-6040.727200,36519444.267198,0.001836
30,3.875000,0.017177,0.183872,171.773200,46268.915200,6434028312.083195,-5797.192400,33635049.230401,0.001563
31,4.000000,0.016436,0.170158,164.358600,42353.070400,5318799917.689614,-5570.991800,31063174.927200,0.001255
32,4.125000,0.016136,0.155034,161.363800,41052.676800,5081153173.728049,-5366.313400,28823699.461600,0.001163
33,4.250000,0.015512,0.144942,155.120000,37944.681600,4350315980.553630,-5177.178600,26829358.493601,0.000888
34,4.375000,0.014846,0.135116,148.464500,34536.772600,3622051651.324011,-5000.441200,25030274.320001,0.000951
35,4.500000,0.014638,0.125529,146.379800,33783.255200,3425009271.238387,-4834.363000,23396485.164001,0.001042
36,4.625000,0.014349,0.118708,143.488900,32440.324600,3156090477.176802,-4684.932600,21973985.800800,0.000877
37,4.750000,0.013766,0.109076,137.661500,29947.214200,2704436757.925595,-4541.873600,20653226.168000,0.000810
38,4.875000,0.013645,0.102928,136.449200,29243.848000,2548362967.360006,-4408.231000,19456962.090400,0.000747
39,5.000000,0.013375,0.096877,133.749900,28088.006200,2348782922.610381,-4280.475600,18346690.569600,0.000646
