idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_error
0,0.200000,1.000000,0.000000,10000.000000,100000000.000014,10000000000000808.000000,-20000.000000,400000000.000058,0.000001
1,0.400000,1.000000,0.000000,10000.000000,100000000.000014,10000000000000808.000000,-20000.000000,400000000.000058,0.000000
2,0.600000,0.999997,0.000263,9999.970267,99999405.393348,9999881102662578.000000,-19999.881067,399995243.626722,25.214000
3,0.800000,0.999908,0.004537,9999.079467,99981592.037344,9996319488678472.000000,-19996.342400,399853738.414942,83.185362
4,1.000000,0.999278,0.023766,9992.775333,99855574.785337,9971142174087344.000000,-19971.662400,398867536.676283,161.384388
5,1.200000,0.997018,0.068472,9970.180133,99404564.398675,9881296244219748.000000,-19885.676267,395441106.577087,219.846715
6,1.400000,0.991401,0.139388,9914.009467,98287810.947467,9660583087366256.000000,-19681.269067,387355084.084257,302.531670
7,1.600000,0.979667,0.259543,9796.671333,95975453.652001,9211550289058658.000000,-19283.814667,371872152.395743,399.788373
8,1.800000,0.956883,0.438356,9568.826400,91564470.404800,8384795449981519.000000,-18593.466667,345731205.431464,475.300911
9,2.000000,0.911418,0.732175,9114.175200,83075795.259734,6904105971550624.000000,-17456.799467,304769134.621869,630.969185
10,2.200000,0.784241,1.402650,7842.405600,61604080.185599,3819004780069406.500000,-15458.805600,239042558.829864,1370.129474
11,2.400000,0.097541,1.125329,975.407067,1450624.273867,5536156666696.940430,-12035.379467,144915177.871998,751.627881
12,2.600000,0.047418,0.710561,474.178933,349037.338133,353129228237.904297,-10280.989600,105746781.110399,304.219992
13,2.800000,0.033469,0.516450,334.692533,176709.869867,95444095248.632233,-9081.428800,82512838.713601,179.387991
14,3.000000,0.026616,0.408000,266.156400,112592.603467,39680640236.295540,-8175.339200,66872891.033599,125.632103
15,3.200000,0.023382,0.321721,233.820133,85755.469067,22039275547.329010,-7453.311733,55584800.001066,78.995534
16,3.400000,0.021017,0.269213,210.168400,69832.218400,15016809227.574003,-6860.728800,47100720.666666,63.547465
17,3.600000,0.018964,0.230942,189.638533,56464.023733,9528423130.078796,-6363.555200,40524764.885333,46.216303
18,3.800000,0.017580,0.196037,175.797067,48884.253333,7331702218.792529,-5941.755467,35332765.788800,37.944421
19,4.000000,0.016455,0.169238,164.551600,42734.954400,5425496141.814305,-5573.186400,31087484.713600,31.322823
20,4.200000,0.015790,0.149935,157.903867,38987.903733,4493285193.253222,-5255.090133,27642420.821333,23.650921
21,4.400000,0.014911,0.134811,149.106933,34953.510933,3717979673.627616,-4967.900000,24706129.818666,22.750266
22,4.600000,0.014481,0.118081,144.808667,32789.084533,3214630441.432461,-4716.768533,22272891.268267,18.189170
23,4.800000,0.013932,0.108227,139.320133,30548.421067,2808317524.589852,-4486.418933,20152890.450134,17.012043
24,5.000000,0.013477,0.096344,134.773467,28294.261067,2361173790.842708,-4280.894933,18350147.355733,14.247341
