idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,0.000000,1.000000,-inf,16.000000,256.000000,65536.000000,-32.000000,1024.000000
1,0.200000,0.000000,-0.000000,0.000000,0.000000,0.000000,-16.000000,256.000000
2,0.400000,1.000000,-0.000000,16.000000,256.000000,65536.000000,-32.000000,1024.000000
3,0.600000,0.999986,0.001234,15.999778,255.993333,65532.986667,-31.999111,1023.950222
4,0.800000,0.999917,0.004164,15.998667,255.960000,65517.920000,-31.994667,1023.701333
5,1.000000,0.999431,0.018252,15.990889,255.727556,65413.502222,-31.964000,1021.989333
6,1.200000,0.996854,0.070650,15.949667,254.510000,64876.408000,-31.807333,1013.334222
7,1.400000,0.991993,0.131171,15.871889,252.234889,63884.875556,-31.516222,997.385778
8,1.600000,0.979611,0.260037,15.673778,246.754222,61649.811556,-30.855556,962.716444
9,1.800000,0.956028,0.429672,15.296444,236.829333,57825.632000,-29.699556,904.337778
10,2.000000,0.917000,0.630291,14.672000,221.748000,52530.000000,-28.006889,824.724444
11,2.200000,0.867090,0.753879,13.873444,203.199333,46267.805333,-25.926667,730.572444
12,2.400000,0.803333,0.823554,12.853333,180.760000,39250.314667,-23.461778,626.353778
13,2.600000,0.727215,0.789724,11.635444,154.945556,31504.507556,-20.636889,511.297778
14,2.800000,0.653597,0.708046,10.457556,131.289333,24935.205333,-18.022222,413.617778
15,3.000000,0.610924,0.612261,9.774778,118.392667,21504.664000,-16.502222,360.488889
16,3.200000,0.559340,0.511505,8.949444,102.680222,17476.224889,-14.691111,299.633778
17,3.400000,0.510285,0.412701,8.164556,88.578889,14033.920889,-13.076667,247.332444
18,3.600000,0.474146,0.335672,7.586333,78.126889,11516.496889,-11.796889,208.771556
19,3.800000,0.443854,0.288514,7.101667,70.277556,9896.864889,-10.831333,183.976000
20,4.000000,0.419910,0.235415,6.718556,63.716667,8394.312000,-9.977333,159.813333
21,4.200000,0.404569,0.210088,6.473111,60.055556,7706.622222,-9.413556,147.910222
22,4.400000,0.378083,0.170875,6.049333,53.268000,6326.426667,-8.562889,126.253333
23,4.600000,0.366083,0.151337,5.857333,50.218222,5746.430222,-8.049333,116.028444
24,4.800000,0.351750,0.131540,5.628000,46.860444,5108.177778,-7.582000,105.977778
