idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2,c_dev(bootstrap)
0,0.125000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
1,0.250000,0.200000,0.000000,5.000000,25.000000,625.000000,-30.000000,900.000000,0.000000
2,0.375000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
3,0.500000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
4,0.625000,1.000000,-0.000000,25.000000,625.000000,390625.000000,-50.000000,2500.000000,0.000000
5,0.750000,0.999938,0.003537,24.998444,624.925333,390538.834667,-49.993778,2499.427556,0.040442
6,0.875000,0.999680,0.013368,24.992000,624.616444,390183.276444,-49.968222,2497.079111,0.061030
7,1.000000,0.999293,0.023311,24.982333,624.156444,389660.297778,-49.930889,2493.676444,0.078397
8,1.125000,0.998080,0.048097,24.952000,622.703556,387990.195555,-49.811556,2482.712889,0.091581
9,1.250000,0.996240,0.078081,24.906000,620.532444,385556.388444,-49.641333,2467.312000,0.117219
10,1.375000,0.992640,0.124760,24.816000,616.289778,380808.148444,-49.308444,2437.219556,0.141083
11,1.500000,0.987151,0.184176,24.678778,609.948889,373929.827555,-48.831111,2394.837333,0.172425
12,1.625000,0.978760,0.259756,24.469000,600.401778,363751.241778,-48.113778,2332.083556,0.215226
13,1.750000,0.964240,0.382816,24.106000,585.146222,348937.779555,-47.070000,2244.894222,0.317347
14,1.875000,0.946978,0.488774,23.674444,566.697778,330760.057778,-45.744444,2135.512889,0.359548
15,2.000000,0.916356,0.649236,22.908889,536.608889,304004.747556,-43.783111,1981.884444,0.412212
16,2.125000,0.874809,0.810420,21.870222,498.168889,271858.854222,-41.302667,1797.399111,0.447965
17,2.250000,0.835791,0.870819,20.894778,463.288889,244213.136889,-39.100444,1639.057778,0.411710
18,2.375000,0.775973,0.942322,19.399333,412.965778,206776.572444,-35.907778,1422.250667,0.396052
19,2.500000,0.722102,0.923896,18.052556,368.033333,174618.106667,-33.040667,1236.044444,0.362207
20,2.625000,0.662004,0.861532,16.550111,321.384444,143681.473778,-30.123333,1055.827556,0.323215
21,2.750000,0.614080,0.788837,15.352000,286.256889,121964.587556,-27.866667,925.690667,0.299647
22,2.875000,0.566738,0.676031,14.168444,250.700000,99830.458667,-25.559111,792.963556,0.263985
23,3.000000,0.525089,0.591573,13.127222,221.543111,82966.367111,-23.522889,686.430222,0.241782
24,3.125000,0.486787,0.526002,12.169667,196.534667,69940.880000,-21.772667,602.467556,0.221481
25,3.250000,0.450733,0.430342,11.268333,172.037778,56690.001778,-20.235333,523.105778,0.192079
26,3.375000,0.423178,0.382606,10.579444,155.585778,48991.103111,-18.918444,466.860444,0.175897
27,3.500000,0.400933,0.334781,10.023333,141.032444,41613.719111,-17.699556,415.800889,0.150971
28,3.625000,0.386396,0.301212,9.659889,132.493778,37904.460444,-16.995111,387.786667,0.141843
29,3.750000,0.363511,0.258089,9.087778,118.812000,31471.002667,-15.897111,343.452444,0.116497
30,3.875000,0.349956,0.227818,8.748889,110.764889,27848.195556,-15.094222,313.356444,0.109100
31,4.000000,0.342409,0.211592,8.560222,106.417778,26272.287111,-14.627333,298.595556,0.099381
32,4.125000,0.334369,0.191297,8.359222,101.914222,24326.664889,-14.192889,282.814222,0.089937
33,4.250000,0.319009,0.172667,7.975222,93.423111,20957.295111,-13.375333,256.869333,0.080840
34,4.375000,0.309293,0.153269,7.732333,88.479111,18998.521778,-12.886667,239.408000,0.068076
35,4.500000,0.297942,0.139248,7.448556,82.199556,16659.566222,-12.320889,222.298667,0.061630
36,4.625000,0.292342,0.128613,7.308556,79.634222,15873.742222,-11.920000,210.864000,0.056593
37,4.750000,0.285258,0.120688,7.131444,76.108444,14832.383111,-11.505778,200.458667,0.053847
38,4.875000,0.276173,0.111395,6.904333,71.938222,13397.038222,-11.028000,187.800889,0.048270
39,5.000000,0.274996,0.104267,6.874889,70.843556,12929.067556,-10.792222,181.639111,0.045839
