,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2
0,0.125000,1.000000,-0.000000,10000.000000,99999999.999963,-20000.000000,399999999.999850
1,0.250000,1.000000,-0.000000,10000.000000,99999999.999963,-20000.000000,399999999.999850
2,0.375000,1.000000,-0.000000,10000.000000,99999999.999963,-20000.000000,399999999.999850
3,0.500000,1.000000,0.000030,9999.997667,99999953.337963,-19999.990667,399999626.741184
4,0.625000,0.999994,0.000487,9999.940111,99998802.345074,-19999.760667,399990428.626526
5,0.750000,0.999954,0.002682,9999.535111,99990703.397300,-19998.149778,399926009.623021
6,0.875000,0.999773,0.009501,9997.734556,99954700.974875,-19991.042444,399641850.754693
7,1.000000,0.999271,0.023932,9992.706889,99854207.028455,-19971.397111,398856941.887132
8,1.125000,0.998157,0.046347,9981.574667,99631874.103555,-19928.679556,397152855.406214
9,1.250000,0.996016,0.084397,9960.164333,99204972.681555,-19848.350667,393958342.897778
10,1.375000,0.992326,0.135617,9923.256556,98471229.906889,-19714.201333,388652298.227557
11,1.500000,0.986504,0.198244,9865.036667,97319355.525779,-19511.271333,380694169.531561
12,1.625000,0.977524,0.282376,9775.236444,95556034.852889,-19214.718889,369212878.477322
13,1.750000,0.963931,0.391143,9639.313333,92917898.951110,-18797.482000,353357308.297778
14,1.875000,0.943476,0.517145,9434.759111,89017790.263110,-18228.442667,332294302.933328
15,2.000000,0.911005,0.737363,9110.051667,83000843.136221,-17449.682667,304520919.669338
16,2.125000,0.852439,1.074583,8524.390111,72713439.258445,-16374.809333,268182904.828444
17,2.250000,0.694093,1.682066,6940.931556,48442390.693333,-14672.055556,215354368.803557
18,2.375000,0.127639,1.203039,1276.385778,2694397.102667,-12359.754222,152831383.374223
19,2.500000,0.052796,0.860039,527.955444,445559.609556,-11044.334889,122031085.583112
20,2.625000,0.045721,0.666615,457.205333,334615.997333,-10115.371556,102366675.633778
21,2.750000,0.035776,0.548358,357.761667,198727.233111,-9348.416222,87434355.426667
22,2.875000,0.031038,0.456631,310.380111,151273.424667,-8710.266667,75906488.832001
23,3.000000,0.026811,0.410038,268.110667,111344.588444,-8174.421556,66858071.160000
24,3.125000,0.024496,0.348795,244.962000,94336.919111,-7705.104444,59402696.478223
25,3.250000,0.022589,0.317304,225.892778,80305.369111,-7297.162667,53282098.243556
26,3.375000,0.020986,0.286857,209.859556,68800.394222,-6928.810444,48041089.030221
27,3.500000,0.019848,0.247485,198.478778,61603.144222,-6602.055333,43617451.533332
28,3.625000,0.018947,0.223173,189.470556,56000.936667,-6307.469111,39813492.941333
29,3.750000,0.017774,0.205363,177.742556,49233.176667,-6039.001333,36498416.252444
30,3.875000,0.016971,0.186422,169.709556,45101.481333,-5797.676667,33641047.222222
31,4.000000,0.016623,0.169341,166.225667,43522.769111,-5573.977333,31096317.895111
32,4.125000,0.015854,0.159301,158.544667,39615.263556,-5365.807778,28818999.243555
33,4.250000,0.015461,0.145219,154.611111,37594.938222,-5175.184000,26808759.655111
34,4.375000,0.015315,0.136004,153.152111,36779.815778,-4998.518444,25011218.616000
35,4.500000,0.014645,0.124224,146.446222,33790.134667,-4834.819556,23400635.530667
36,4.625000,0.014293,0.116178,142.926889,32052.520444,-4682.012444,21946091.760000
37,4.750000,0.014007,0.109935,140.068000,31076.740000,-4542.222667,20656590.917334
38,4.875000,0.013776,0.104191,137.759889,29900.284222,-4411.616444,19487121.372445
39,5.000000,0.013406,0.095005,134.055444,28140.821556,-4281.795333,18357522.624889
