idx,temperture,magnetization,specific heat,abs(sigma),sigma**2,sigma**4,HH,HH**2
0,0.125000,1.000000,0.000000,10000.000000,99999999.999977,10000000000001598.000000,-200.000000,40000.000000
1,0.250000,1.000000,0.000000,10000.000000,99999999.999977,10000000000001598.000000,-200.000000,40000.000000
2,0.375000,1.000000,0.000000,10000.000000,99999999.999977,10000000000001598.000000,-200.000000,40000.000000
3,0.500000,1.000000,0.000033,9999.997429,99999948.576549,9999989717372612.000000,-199.999897,39999.958865
4,0.625000,0.999995,0.000448,9999.946286,99998925.827407,9999785210734444.000000,-199.997857,39999.143037
5,0.750000,0.999953,0.002679,9999.526571,99990532.610840,9998106994950298.000000,-199.981157,39992.464719
6,0.875000,0.999778,0.009423,9997.781714,99955643.874850,9991132608533186.000000,-199.912146,39964.873219
7,1.000000,0.999277,0.023203,9992.772429,99855516.368283,9971130362413864.000000,-199.716394,39886.661350
8,1.125000,0.998156,0.046829,9981.556429,99631510.721431,9926454655997548.000000,-199.286323,39715.097746
9,1.250000,0.996011,0.083894,9960.113286,99203954.858000,9841463612286056.000000,-198.481320,39394.965473
10,1.375000,0.992368,0.133687,9923.676857,98479568.437146,9698306543824604.000000,-197.157517,38871.339317
11,1.500000,0.986519,0.197015,9865.193857,97322451.938001,9471816116529104.000000,-195.117203,38071.166135
12,1.625000,0.977506,0.277138,9775.058286,95552546.741714,9130588006621130.000000,-192.140603,36918.743085
13,1.750000,0.963989,0.394283,9639.885857,92928967.694567,8636375404383377.000000,-187.988434,35340.858915
14,1.875000,0.943573,0.532136,9435.726714,89036112.893428,7928558082751836.000000,-182.318283,33241.827056
15,2.000000,0.911419,0.714615,9114.187143,83075977.703428,6904124408318604.000000,-174.568277,30476.941846
16,2.125000,0.853642,1.042143,8536.416571,72898026.722286,5322072002892288.000000,-163.704674,26803.926310
17,2.250000,0.669180,2.114154,6691.799571,45753631.648286,2213630229215482.500000,-146.149397,21370.349188
18,2.375000,0.124866,1.542705,1248.656143,2400508.087714,15457660187264.521484,-123.457711,15250.508332
19,2.500000,0.068024,2.203589,680.239143,714139.592000,1400123632770.489014,-110.495589,12223.047526
20,2.625000,0.043260,3.167203,432.596714,294971.067714,255100493188.294647,-99.574591,9936.923265
21,2.750000,0.035138,3.968882,351.381143,198438.585714,125756566952.938934,-91.103240,8329.815006
22,2.875000,0.031582,2.675326,315.818000,159600.278857,81525342154.729187,-84.981100,7243.900596
23,3.000000,0.029568,2.476811,295.682429,132996.612857,45151813020.038216,-80.157466,6447.510606
24,3.125000,0.026132,3.190767,261.318571,109263.018286,34064744117.284435,-75.002043,5656.466262
25,3.250000,0.022553,3.135590,225.532429,78227.220857,16335969711.534964,-70.791543,5044.562213
26,3.375000,0.022489,2.314495,224.888857,74999.658286,14706194295.131474,-67.450360,4575.914613
27,3.500000,0.018739,2.863405,187.388857,52932.693714,6983498346.518782,-64.674163,4217.824055
28,3.625000,0.019114,2.977130,191.135714,53627.772571,7492386381.142777,-61.780849,3855.994605
29,3.750000,0.019943,2.322113,199.431429,64806.720571,13094426290.150917,-58.836909,3494.436528
30,3.875000,0.017966,2.395165,179.655143,51101.894286,7248446585.542809,-54.995677,3060.489400
31,4.000000,0.012316,1.480999,123.164143,25471.056286,2663989700.819393,-54.490334,2992.892517
32,4.125000,0.015126,1.665885,151.262286,36374.482286,3642844847.423975,-51.489620,2679.527041
33,4.250000,0.015480,1.461538,154.800857,37547.524000,4006404130.329113,-48.160551,2345.837743
34,4.375000,0.018754,1.167499,187.543143,50108.662286,5689811674.443385,-47.347749,2264.155962
35,4.500000,0.012975,1.296496,129.748571,24064.975429,1329937747.202276,-45.243354,2073.215161
36,4.625000,0.019099,1.128612,190.989000,54124.319714,6532103049.530170,-44.378326,1993.577512
37,4.750000,0.011397,1.143053,113.972286,20888.524571,1540835627.853682,-43.270074,1898.089471
38,4.875000,0.017140,0.870221,171.399429,50301.750857,7718734483.405633,-40.725526,1679.249794
39,5.000000,0.013048,0.918300,130.480571,27610.258286,2295973071.702794,-40.219954,1640.602211
