,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,size
0,2.120000,0.856874,-43744.076128,56156.109000,-1141288968.827770,-107619.489111,-1302644396.525334,-1302644396.525334
1,2.140000,0.843398,-42930.189049,55272.924556,-1239657591.758430,-106232.813778,-1599169630.213353,-1599169630.213353
2,2.160000,0.827604,-41671.285851,54237.875778,-1352913316.188881,-104740.186889,-1771104034.303114,-1771104034.303114
3,2.180000,0.808286,-30523.022773,52971.800556,-1488498694.262875,-103102.985778,1123729922.753803,1123729922.753803
4,2.200000,0.784432,-27083.362450,51408.524000,-1650935711.655972,-101335.410667,1678178885.957339,1678178885.957339
5,2.220000,0.753902,-26593.657409,49407.732333,-1804585518.660644,-99410.523778,1293030060.329798,1293030060.329798
6,2.240000,0.707923,-26120.603959,46394.450111,-337898196.791780,-97184.884444,855573876.917326,855573876.917326
7,2.260000,0.613302,-25659.717819,40193.340000,1599953089.244899,-94432.797111,328432880.448886,328432880.448886
8,2.280000,0.309450,-25211.443051,20280.089444,526617191.233550,-90863.626000,-332894944.068444,-332894944.068444
9,2.300000,0.130976,-24775.502754,8583.635333,109654104.887111,-87841.568222,-873164965.798235,-873164965.798235
10,2.320000,0.082653,-24350.583340,5416.721000,45733734.454889,-85625.580222,-1257708311.227534,-1257708311.227534
11,2.340000,0.064786,-23936.176459,4245.802444,28084722.236444,-83662.267333,-1590096134.143106,-1590096134.143106
12,2.360000,0.053270,-23509.656012,3491.114778,19390914.771778,-82254.322222,-1815469691.772475,-1815469691.772475
13,2.380000,0.042749,-17725.244369,2801.610556,12439744.872222,-80327.691556,-127464733.079112,-127464733.079112
14,2.400000,0.039208,-11482.318744,2569.516444,10338016.625333,-78579.764222,1840349156.009800,1840349156.009800
15,2.420000,0.034504,-11189.711840,2261.225778,8118993.771111,-77555.990889,1720264029.865799,1720264029.865799
16,2.440000,0.032581,-11007.042487,2135.198889,7255612.663556,-76190.997333,1510393845.815129,1510393845.815129
17,2.460000,0.028012,-10828.378528,1835.785667,5223218.647778,-74758.785778,1294366490.961779,1294366490.961779
18,2.480000,0.025223,-10654.432554,1653.004667,4317868.936444,-73164.391778,1058518239.666684,1058518239.666684
19,2.500000,0.024032,-10484.178923,1574.938333,3860772.086444,-71930.550444,879684400.258663,879684400.258663
20,2.520000,0.021001,-10317.755700,1376.336333,3143700.773556,-71069.417556,756820459.631121,756820459.631121
21,2.540000,0.018351,-10155.602736,1202.669444,2321215.177111,-69797.564667,577788744.358220,577788744.358220
22,2.560000,0.018280,-9995.903278,1198.006889,2131993.668000,-68681.166000,423894795.910220,423894795.910220
23,2.580000,0.017675,-9840.628466,1158.354222,2212738.152889,-67320.913333,239290322.913778,239290322.913778
24,2.600000,0.016257,-9689.378381,1065.402111,1893880.067778,-66495.683333,129054935.144001,129054935.144001
