,temperture,magnetization,specific heat,abs(sigma),sigma**2,HH,HH**2,sigma**4
0,2.206000,0.776666,1.508517,3181.223000,10176972.674000,-98.435656,9696.919521,9696.919521,52687165339.377953
1,2.212000,0.766245,1.522344,3138.541000,9911718.146000,-97.719031,9556.457811,9556.457811,50109429873.037872
2,2.218000,0.756020,1.485246,3096.656000,9659542.268000,-97.305344,9475.636627,9475.636627,47807123486.422874
3,2.224000,0.743894,1.600857,3046.991000,9376610.082000,-96.603062,9340.069805,9340.069805,45336093967.616409
4,2.230000,0.737320,1.725337,3020.061000,9220896.122000,-96.128250,9249.220379,9249.220379,43948530749.021446
5,2.236000,0.705389,2.063474,2889.272000,8537612.216000,-94.817125,9000.603934,9000.603934,38548726403.462387
6,2.242000,0.703590,1.878256,2881.903000,8469215.478000,-94.673594,8972.530525,8972.530525,37921135911.856377
7,2.248000,0.685101,1.777837,2806.172000,8094974.980000,-94.076750,8859.419199,8859.419199,35080134642.904167
8,2.254000,0.667361,1.889392,2733.512000,7761384.080000,-93.464750,8745.258578,8745.258578,32899658828.206051
9,2.260000,0.633707,2.133585,2595.663000,7061294.950000,-92.156469,8503.712232,8503.712232,27966489717.488991
10,2.266000,0.605260,2.021525,2479.145000,6551882.562000,-91.412563,8366.636621,8366.636621,24890179670.911160
11,2.272000,0.594604,2.043850,2435.497000,6331004.546000,-90.792781,8253.879447,8253.879447,23346644882.468136
12,2.278000,0.575615,2.140352,2357.720000,6065016.640000,-90.431000,8188.872656,8188.872656,22181600803.290154
13,2.284000,0.520019,1.865071,2129.999000,5104456.546000,-88.985000,7928.059660,7928.059660,16884515007.130529
14,2.290000,0.504922,1.983899,2068.161000,4842726.018000,-88.514375,7845.198348,7845.198348,15340976946.164555
15,2.296000,0.473559,1.877121,1939.698000,4374002.836000,-87.889219,7734.410232,7734.410232,13269154394.304928
16,2.302000,0.420603,2.227600,1722.791000,3649058.594000,-86.612344,7513.502596,7513.502596,10144669678.657495
17,2.308000,0.395299,1.597923,1619.145000,3241614.314000,-85.953719,7396.553686,7396.553686,8309957881.194121
18,2.314000,0.370152,1.538327,1516.143000,2883350.550000,-85.063844,7244.094631,7244.094631,6830493625.589042
19,2.320000,0.335043,1.976311,1372.336000,2494910.048000,-84.175625,7096.173141,7096.173141,5668840596.550511
20,2.326000,0.304206,1.630077,1246.028000,2102289.168000,-83.170906,6926.218814,6926.218814,4184338827.903789
21,2.332000,0.271611,1.128652,1112.520000,1718470.456000,-82.803906,6862.624752,6862.624752,3020136469.297277
22,2.338000,0.279675,1.306408,1145.549000,1764839.586000,-82.304656,6781.197588,6781.197588,3074983260.833753
23,2.344000,0.253544,1.172490,1038.515000,1539122.462000,-82.037500,6736.593461,6736.593461,2570037677.163534
24,2.350000,0.235880,1.648174,966.166000,1398630.280000,-80.909625,6555.469461,6555.469461,2326235342.513748
