idx,temperture,(staggered)magnetization,specific heat,abs(mm),mm**2,mm**4,HH/L,HH**2/L,cerror,berror
0,1.580000,0.998578,0.012862,0.998578,0.997159,0.994329,-106.950384,11438.416674,0.000007,0.000000
1,1.582000,0.998573,0.012812,0.998573,0.997149,0.994309,-106.949341,11438.193602,0.000008,0.000000
2,1.584000,0.998550,0.013096,0.998550,0.997103,0.994217,-106.944487,11437.156109,0.000008,0.000000
3,1.586000,0.998535,0.013102,0.998535,0.997072,0.994156,-106.941319,11436.478641,0.000006,0.000000
4,1.588000,0.998530,0.013177,0.998530,0.997062,0.994136,-106.940148,11436.228390,0.000007,0.000000
5,1.590000,0.998516,0.013127,0.998516,0.997036,0.994083,-106.937308,11435.621099,0.000007,0.000000
6,1.592000,0.998501,0.013299,0.998501,0.997004,0.994020,-106.934054,11434.925707,0.000007,0.000000
7,1.594000,0.998478,0.013419,0.998478,0.996960,0.993932,-106.929369,11433.924111,0.000008,0.000000
8,1.596000,0.998476,0.013448,0.998476,0.996955,0.993921,-106.928948,11433.834273,0.000007,0.000000
9,1.598000,0.998456,0.013616,0.998456,0.996915,0.993843,-106.924635,11432.912278,0.000008,0.000000
10,1.600000,0.998436,0.013670,0.998436,0.996875,0.993764,-106.920527,11432.034039,0.000007,0.000000
11,1.602000,0.998424,0.013992,0.998424,0.996852,0.993717,-106.918012,11431.497253,0.000008,0.000000
12,1.604000,0.998406,0.013921,0.998406,0.996816,0.993646,-106.914360,11430.716117,0.000009,0.000000
13,1.606000,0.998398,0.013957,0.998398,0.996799,0.993611,-106.912435,11430.304652,0.000007,0.000000
14,1.608000,0.998386,0.014042,0.998386,0.996776,0.993565,-106.910029,11429.790540,0.000007,0.000000
15,1.610000,0.998363,0.014249,0.998363,0.996729,0.993472,-106.905016,11428.719375,0.000008,0.000000
16,1.612000,0.998348,0.014392,0.998348,0.996699,0.993413,-106.901837,11428.040223,0.000008,0.000000
17,1.614000,0.998336,0.014243,0.998336,0.996676,0.993367,-106.899504,11427.540965,0.000008,0.000000
18,1.616000,0.998317,0.014523,0.998317,0.996637,0.993289,-106.895418,11426.668244,0.000008,0.000000
19,1.618000,0.998306,0.014713,0.998306,0.996615,0.993245,-106.893023,11426.156817,0.000009,0.000000
20,1.620000,0.998295,0.014491,0.998295,0.996594,0.993203,-106.890741,11425.668586,0.000007,0.000000
21,1.622000,0.998283,0.014697,0.998283,0.996570,0.993155,-106.888282,11425.143499,0.000007,0.000000
22,1.624000,0.998264,0.014859,0.998264,0.996532,0.993079,-106.884220,11424.275591,0.000008,0.000000
23,1.626000,0.998242,0.014902,0.998242,0.996488,0.992993,-106.879700,11423.309667,0.000009,0.000000
24,1.628000,0.998228,0.015130,0.998228,0.996459,0.992934,-106.876550,11422.637079,0.000008,0.000000
25,1.630000,0.998217,0.015113,0.998217,0.996439,0.992894,-106.874604,11422.221235,0.000008,0.000000
26,1.632000,0.998196,0.015325,0.998196,0.996397,0.992810,-106.869978,11421.232968,0.000009,0.000000
27,1.634000,0.998176,0.015325,0.998176,0.996357,0.992731,-106.865927,11420.367315,0.000008,0.000000
28,1.636000,0.998163,0.015562,0.998163,0.996331,0.992679,-106.863071,11419.757536,0.000007,0.000000
29,1.638000,0.998152,0.015625,0.998152,0.996308,0.992634,-106.860597,11419.229118,0.000009,0.000000
30,1.640000,0.998124,0.015727,0.998124,0.996253,0.992524,-106.854791,11417.988688,0.000008,0.000000
